<decompiled>:16: SyntaxWarning: "is" with a literal. Did you mean "=="?
D:/Temp/r52gate/build_c52b/fly__oauthenticator__hsidOK.py:19: SyntaxWarning: "is" with a literal. Did you mean "=="?
  if hsid_login_url is '':
c52b const.pyc                    9/9  []  
c52b other_api.pyc                12/12  []  
c52b __init__.pyc                 1/1  []  
c52b __init__.pyc                 6/6  []  
c52b __init__.pyc                 1/1  []  
c52b live_stock_position.pyc      12/12  []  
c52b __init__.pyc                 6/6  []  
c52b __init__.pyc                 15/15  []  
c52b base_validator.pyc           6/6  []  
c52b api.pyc                      57/57  []  
c52b trade_live_broker.pyc        105/119  [['_process_cancel_order', 293, 292, 16, 43], ['_process_order', 454, 396, 9, 349], ['_sync_worker', 349, 323, 1, 286], ['_trade_status_handle', 114, 112, 0, 107], ['after_trading_cancel_order', 155, 155, 3, 122], ['etf_basket_order', 693, 693, 11, 216], ['etf_purchase_redemption', 377, 355, 2, 100], ['fund_transfer', 123, 88, 1, 57], ['get_all_orders', 79, 78, 2, 24], ['get_etf_stock_info', 144, 117, 1, 139], ['get_max_amount', 201, 213, 2, 18], ['get_trades', 215, 216, 10, 19], ['ipo_stocks_order', 1075, 1076, 10, 437], ['market_fund_transfer', 94, 67, 1, 41]]  
c52b datetime_func.pyc            17/17  []  
c52b profiler_func.pyc            15/15  []  
c52b aes_encrypt.pyc              7/7  []  
c52b flyqueue.pyc                 7/7  []  
c52b multiprocess_syn.pyc         35/35  []  
c52b __init__.pyc                 1/1  []  
c52b event_type.pyc               5/5  []  
c52b accountFactory.pyc           3/3  []  
c52b r2_01_set_trade_status_collapse.pyc 3/3  []  
c52b r2_07_with_lock_dropped.pyc  7/8  [['trade_operation', 63, 32, 2, 39]]  
c52b r27a_01_elif_head_after_raise.pyc 4/4  []  
c52b r3_02_fstring_log_dropped.pyc 3/3  []  
c52b r3_05_converge_return_misattrib.pyc 2/2  []  
c52b r4_01_boolop_merge_swallows_following_stmts.pyc 2/2  []  
c52b r4_05_boolop_merge_inside_try.pyc 2/2  []  
c52b r35_04_control_depth2_fallout.pyc 2/2  []  
c52b r36_05_control_for_else_break_target_differs.pyc 2/2  []  
c52b r37_control_plain_or_arms.pyc 3/3  []  
c52b r39w_witness.pyc             2/2  []  
c52b r2_04_return_in_loop_finally.pyc 2/2  []  
c52b r2_08_loop_tail_branches.pyc 8/8  []  
c52b r3_02b_fstring_conv_probe.pyc 8/8  []  
c52b r3_04_loop_branch_continue_lost.pyc 3/3  []  
c52b r3_10_try_except_block_scramble.pyc 2/2  []  
c52b r4_06_continue_after_nested_for_dropped.pyc 2/2  []  
c52b r35_01_witness_dup_epilogue_fallthrough.pyc 2/2  []  
c52b r36_02_witness_exit_is_call_with_default.pyc 2/2  []  
c52b r37_control_nested_chain_in_first_arm.pyc 3/3  []  
c52b r37_witness_or_arm_with_else_sibling.pyc 3/3  []  
c52b r2_01_set_trade_status_collapse_dec_dec.pyc 3/3  []  
c52b r2_04_return_in_loop_finally_dec_dec.pyc 1/2  [['get_user_info', 119, 129, 4, 83]]  
c52b r2_07_with_lock_dropped_dec_dec.pyc 8/8  []  
c52b r2_10_except_tail_loop_cond_dec_dec.pyc 2/2  []  
c52b r31a_witness.pyc             3/4  [['w_c_handler_nested_raise_deep', 64, 63, 2, 51]]  
c52b r2_01_set_trade_status_collapse_dec_dec_dec.pyc 3/3  []  
c52b r2_03_finally_is_not_none_dec.pyc 3/3  []  
c52b r2_04_return_in_loop_finally_dec_dec_dec.pyc 1/2  [['get_user_info', 152, 169, 7, 112]]  
c52b r2_06_subscript_chain_truncate_dec.pyc 2/2  []  
c52b r2_07_with_lock_dropped_dec_dec_dec.pyc 8/8  []  
c52b r2_09_bool_cond_invert_dec.pyc 1/2  [['create_user_code', 102, 102, 2, 32]]  
c52b r2_10_except_tail_loop_cond_dec_dec_dec.pyc 2/2  []  
c52b r3_01_fstring_log_mangled_dec.pyc 6/7  [['get_price', 54, 51, 0, 52]]  
c52b r3_02b_fstring_conv_probe_dec.pyc 8/8  []  
c52b r3_03c_while_body_probe_dec.pyc 4/4  []  
c52b r3_05_converge_return_misattrib_dec.pyc 2/2  []  
c52b r3_08_and_chain_nested_continue_dec.pyc 2/2  []  
c52b r3_11_implicit_return_shift_dec.pyc 3/3  []  
c52b r4_01_boolop_merge_swallows_following_stmts_dec.pyc 2/2  []  
c52b r4_05_boolop_merge_inside_try_dec.pyc 2/2  []  
c52b r30c_witness.pyc             6/6  []  
c52b r41c_controls.pyc            7/7  []  
c52b r41w_witness.pyc             4/4  []  
c52b nc3_and_chain.pyc            2/2  []  
c52b w1_orchain_guard.pyc         1/2  [['w1', 41, 33, 1, 34]]  
c52b nc_controls.pyc              7/7  []  
c52b r43d_02_compound_cond_control.pyc 1/3  [['r43d_02_while_and_after_guard', 29, 19, 2, 11], ['r43d_03_while_or_after_guard', 33, 17, 1, 17]]  
